image,text
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/0_6aa7b081-ff30-4886-898c-8a3d6e1810dc_img.png,cat
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/1_0ec75379-6c02-4edf-bb82-cfc489c0cfe6_img.png,cat
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/2_2469d7bd-72b0-49b4-bd68-13d058491f1c_img.png,cat
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/3_6f24d5bd-6e84-48a2-ba10-85b7a557dcbc_img.png,cat
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/4_77930629-2531-4c2e-ab08-a9bc52bdbdbc_img.png,cat
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/5_08f1205e-e28a-4bb7-b332-78dc6eb97b64_img.png,cat
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/6_d5143d47-4d4f-43d5-9d5e-ac0739f5c304_img.png,cat
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/7_fdca19f2-b1f0-496a-be61-0a740e8dc7dc_img.png,cat
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/8_19509d69-4da6-4554-8bd3-bd8f55318a56_img.png,cat
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/9_8e800aea-d4d5-4e69-9465-82b87722ff62_img.png,cat
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/0_f72c240d-8bfa-4fbe-a69d-1b724c72b3ca_img.png,cat+with+rat
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/1_25ee7ca5-5305-4895-b508-057bc325e3c6_img.png,cat+with+rat
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/2_2f2f872c-53df-4842-b1d2-2bbc3ff18029_img.png,cat+with+rat
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/3_4610e64e-1dd6-4ec1-97a8-b215d772b7ab_img.png,cat+with+rat
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/4_1d0a54b6-76b6-4a2c-b440-463378e4119b_img.png,cat+with+rat
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/5_647abe1e-680c-4bf4-8a15-593ff84e17c0_img.png,cat+with+rat
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/6_db0c18cb-017e-4bb7-9988-7189f88b329f_img.png,cat+with+rat
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/7_938e18b4-82bb-4456-8cba-ab4943b7c02e_img.png,cat+with+rat
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/8_1f5de417-aa32-4eb9-91c1-d98dc466ec66_img.png,cat+with+rat
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/9_0c5e7747-74f1-4221-8ef4-0b9d85a0bed1_img.png,cat+with+rat
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/0_db8a2649-ccc5-4bb7-b9e7-1bbaf04be8f7_img.png,rats
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/1_b99d63c1-1a6c-47ac-a2fc-feab937e7a76_img.png,rats
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/2_fa79b455-3cde-4f74-828a-a02a97851f17_img.png,rats
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/3_e4b33ddb-c4a1-4e7c-ae04-29aeb0e78c62_img.png,rats
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/4_a7430a92-9ac5-42f0-9d7b-e0a76c33ba54_img.png,rats
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/5_3b48c79d-fab0-4205-b676-14534823d314_img.png,rats
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/6_9c3ea7b5-8b63-4b11-aba1-683bbadfe1ba_img.png,rats
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/7_cb4b4c25-51a6-4d1b-8d5f-1b084ef4430c_img.png,rats
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/8_3c6b6421-6948-4fa7-89bf-632d39c0baec_img.png,rats
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/9_b1c8d890-c71c-41bf-be47-11dbd908877f_img.png,rats
